State,Total Registrations,Total Award Amount
Alaska,679,4617525.79
Alabama,3627,14263197.62
Arkansas,3543,23937143.65
American Samoa,969,9981228.06
California,5,55279.21
Colorado,11933,37610543.81
Connecticut,3091,10737080.06
Connecticut,3511,6523117.24
Florida,2240,11574813.11
Florida,11041,55721940.97
Georgia,335,1511126.39
Georgia,11615,47279870.74
Georgia,1,19821.52
Hawaii,442,1513586.53
Iowa,615,3711892.48
Iowa,29795,143869705.639997
Illinois,50480,105936675.079999
Illinois,129794,315782906.710019
Indiana,25562,91617850.22
Kansas,3900,23593299.54
Kentucky,835,2697428.47
Kentucky,15260,61815821.119999
Louisiana,60141,649756713.579999
Louisiana,13493,83100003.869999
Louisiana,1022,4844428.99
Massachusetts,548,3958742.84
Massachusetts,26565,51794828.31
Massachusetts,3,2723.14
Maryland,507,1778106.93
Maine,216,1000153.37
Maine,939,1368706.17
Michigan,58848,91820170.399991
Minnesota,617,2324655.45
Minnesota,3972,18978814.08
Missouri,2029,12481718.11
Missouri,7562,32628238.77
Northern Mariana Islands,10,10377.58
Mississippi,1610,17227513.96
Mississippi,2385,10167696.54
Mississippi,707,5194552.47
Mississippi,13,89866.02
Montana,1494,4371422.48
North Carolina,14296,66888950.91
North Carolina,845,2836135.4
North Dakota,5164,81632572.42
North Dakota,2128,5727878.85
Nebraska,314,3263110.23
Nebraska,540,1091928.69
New Hampshire,142,705314.48
New Hampshire,869,2453282.56
New Jersey,66041,327444279.190005
New Jersey,14068,26507573.15
Nevada,181,1704528.33
New York,69357,602510058.940044
New York,14002,63474207.12
Ohio,4735,16602715.15
Oklahoma,6,177560.45
Oklahoma,4705,24665080.8
Oklahoma,888,2816736.84
Oregon,532,4284193.45
Pennsylvania,20396,82068630.919999
Pennsylvania,13017,18985556.03
Puerto Rico,2372,5454474.23
Puerto Rico,3916,9941077.44
Rhode Island,38,154930.6
Rhode Island,13326,29779437.65
South Carolina,15628,52964486.49
South Carolina,3818,17512014.24
South Dakota,814,3250667.8
South Dakota,3164,6356450.82
Tennessee,23378,139125019.310001
Texas,2,28442.65
Texas,10435,83099545.77
Texas,25070,205751176.189999
Texas,13085,66318492.59
Virginia,13,36207.5
Virginia,1336,5193340.43
Vermont,2335,15390922.94
Vermont,664,2040518.34
Washington,1324,6038476.36
Washington,17,312565.7
Washington,3053,18249287.69
Wisconsin,45717,81727880.069996
West Virginia,4499,36684316.78
West Virginia,3803,15090352.24
Wyoming,125,1011596.92
Alabama,NA,NA
Alaska,NA,NA
Arizona,NA,NA
Arkansas,NA,NA
California,NA,NA
Colorado,NA,NA
Connecticut,NA,NA
Delaware,NA,NA
District of Columbia,NA,NA
Florida,NA,NA
Georgia,NA,NA
Hawaii,NA,NA
Idaho,NA,NA
Illinois,NA,NA
Indiana,NA,NA
Iowa,NA,NA
Kansas,NA,NA
Kentucky,NA,NA
Louisiana,NA,NA
Maine,NA,NA
Maryland,NA,NA
Massachusetts,NA,NA
Michigan,NA,NA
Minnesota,NA,NA
Mississippi,NA,NA
Missouri,NA,NA
Montana,NA,NA
Nebraska,NA,NA
Nevada,NA,NA
New Hampshire,NA,NA
New Jersey,NA,NA
New Mexico,NA,NA
New York,NA,NA
North Carolina,NA,NA
North Dakota,NA,NA
Ohio,NA,NA
Oklahoma,NA,NA
Oregon,NA,NA
Pennsylvania,NA,NA
Rhode Island,NA,NA
South Carolina,NA,NA
South Dakota,NA,NA
Tennessee,NA,NA
Texas,NA,NA
Utah,NA,NA
Vermont,NA,NA
Virginia,NA,NA
Washington,NA,NA
West Virginia,NA,NA
Wisconsin,NA,NA
Wyoming,NA,NA
Northern Mariana Islands,NA,NA
Puerto Rico,NA,NA
American Samoa,NA,NA
Virgin Islands,NA,NA
Guam,NA,NA
Federated States of Micronesia,NA,NA
Palau,NA,NA
Marshall Islands,NA,NA
